curve_name,prime,order,algorithm,trial,secret,operations,additions,doublings,solved
p=1613,1613,546,Pollard Rho,9,101,0,0,0,False
p=1613,1613,546,Pollard Kangaroo,9,101,600,553,47,True
p=1613,1613,546,Brute Force,10,178,177,176,1,True
p=1613,1613,546,Baby-Step Giant-Step,10,178,36,30,6,True
p=1613,1613,546,Pollard Rho,10,178,0,0,0,False
p=1613,1613,546,Pollard Kangaroo,10,178,597,550,47,True
p=1613,1613,546,Brute Force,11,5,4,3,1,True
p=1613,1613,546,Baby-Step Giant-Step,11,5,29,23,6,True
p=1613,1613,546,Pollard Rho,11,5,0,0,0,False
p=1613,1613,546,Pollard Kangaroo,11,5,613,566,47,True
p=1613,1613,546,Brute Force,12,155,154,153,1,True
p=1613,1613,546,Baby-Step Giant-Step,12,155,35,29,6,True
p=1613,1613,546,Pollard Rho,12,155,0,0,0,False
p=1613,1613,546,Pollard Kangaroo,12,155,597,550,47,True
p=1613,1613,546,Brute Force,13,449,448,447,1,True
p=1613,1613,546,Baby-Step Giant-Step,13,449,47,41,6,True
p=1613,1613,546,Pollard Rho,13,449,0,0,0,False
p=1613,1613,546,Pollard Kangaroo,13,449,597,550,47,True
p=1613,1613,546,Brute Force,14,242,241,240,1,True
p=1613,1613,546,Baby-Step Giant-Step,14,242,39,33,6,True
p=1613,1613,546,Pollard Rho,14,242,347,190,157,True
p=1613,1613,546,Pollard Kangaroo,14,242,604,557,47,True
p=1613,1613,546,Brute Force,15,359,358,357,1,True
p=1613,1613,546,Baby-Step Giant-Step,15,359,43,37,6,True
p=1613,1613,546,Pollard Rho,15,359,0,0,0,False
